ticker,bot_winner_score,avg_volatility,pattern_consistency,first_hour_intensity,avg_volume_millions,most_common_peak_hour,days_analyzed
QBTS,39.66161590012085,8.657164977172489,43.333333333333336,32.30859420856409,0.4082007301236749,9,30
BBAI,38.918410105389746,7.195704120285444,50.0,18.096088604677675,1.1660940839222613,9,30
BE,35.36028694023375,8.559911323980874,53.333333333333336,35.98742877247306,0.14415197349823322,9,30
IONQ,32.19515123798748,6.9198396476479,40.0,34.80654685844799,0.19430711975254086,9,30
UUUU,31.402202859763616,7.059428278006164,50.0,31.38739833047799,0.11605257199646643,9,30
UEC,30.03823731483844,6.616920288845548,43.333333333333336,25.59198412086001,0.10049122482332155,9,30
ASTS,28.965877499208815,9.666583538854967,46.666666666666664,31.35877942030569,0.14964991975308645,9,30
SOXL,28.42860095497438,6.029001105236579,40.0,40.12609161706108,1.017654722173145,9,30
SPCE,27.73703925439913,7.137674320374683,56.666666666666664,29.68604003718631,0.06463083782589484,9,30
RKLB,26.494663577987787,8.014132690463859,36.666666666666664,31.310652033441215,0.2366532121746802,15,30
PLUG,25.34003748841808,7.541724886231364,46.666666666666664,19.94773096656945,1.034407811287478,9,30
QUBT,24.59773684291365,7.49822697907499,50.0,27.46636399458104,0.16784079541446206,9,30
ARQQ,23.51935603281827,8.014540736462667,50.0,32.88168960612435,0.003195447513812155,9,30
TSLA,23.299281959745105,2.9953830511498736,46.666666666666664,32.24734941438831,0.7100889206349206,9,30
APLD,22.89319573682266,8.893458328625861,33.33333333333333,30.341884464547565,0.28488385216240075,15,30
NIO,22.308620354686145,3.818028525590052,63.33333333333333,31.622023881478064,0.5728753875386654,9,30
CCJ,22.211775472010135,3.8506687761065796,46.666666666666664,28.041619715521954,0.03835972791519435,9,30
AI,20.946152227341614,4.082418369852364,46.666666666666664,25.73398307564374,0.06218752915194346,9,30
SMCI,20.14438863664493,3.7925149708849153,60.0,29.201292329998758,0.19239348412698412,9,30
IWM,19.47458500127691,1.3267302493122621,43.333333333333336,26.547716284800064,0.43948146157243817,9,30
PL,18.54144848257289,6.641230310503216,36.666666666666664,29.144003826153842,0.14478104681978798,9,30
ARKK,18.29376456745012,2.156789935197024,40.0,27.865773231111575,0.08848374911660777,9,30
AMD,18.20048282260535,3.459408400238748,40.0,34.372154379806155,0.27129438614298323,9,30
NET,17.508548680357663,3.200084891546674,40.0,21.544055668510666,0.021583677120141344,9,30
CVNA,17.447514313806842,4.387225735696594,30.0,23.54016657564347,0.04556022173144877,9,30
REGN,17.398925160185705,2.3425067380640616,63.33333333333333,23.021202351196475,0.006108634920634921,9,30
XPEV,17.304488162282656,3.125746254866671,36.666666666666664,31.234979842093757,0.10184631978798586,9,30
TSM,17.176987179572667,2.3558629998212384,40.0,31.85558590740868,0.12881019081272085,9,30
PLTR,17.16842825939603,3.483947985842708,40.0,31.747777133309206,0.32263934832451496,9,30
RGTI,17.08143575140724,7.638493426608657,46.666666666666664,28.27848797837199,0.35484028275253643,9,30
LCID,17.005803426035047,5.293892711564317,53.333333333333336,26.242256422276665,0.06570946296296297,9,30
AMAT,16.78287743323106,2.802197747649237,56.666666666666664,24.78144318254753,0.04162583502426114,9,30
MU,16.623884956192867,4.523277016958259,56.666666666666664,38.093032265770006,0.24128799161887957,9,30
CHPT,16.52876236100855,5.695307010921157,43.333333333333336,26.122578612227368,0.007822462399283796,9,30
CLSK,16.509543690920957,8.209838310504384,46.666666666666664,24.95257746308935,0.337832374227714,9,30
XLK,15.10052064626698,1.3596980313160514,36.666666666666664,29.744818697293613,0.12251969832155477,9,30
FSLR,14.988762172677788,4.090362880541869,53.333333333333336,24.564933740343317,0.01654779302736099,9,30
PANW,13.907361236050724,2.206127592106826,40.0,23.928014212949332,0.04054333671668138,9,30
S,13.197841889435875,2.8087972355126336,43.333333333333336,22.675993882784084,0.10457366342756184,9,30
SOUN,13.126163272051466,5.131003817156743,40.0,25.74402993390306,0.23473156266548986,9,30
GOOGL,12.86199273508212,2.2149515999028613,53.333333333333336,35.47949576969147,0.2618780008822232,9,30
SNOW,12.547520936942764,3.0857402219481957,40.0,24.569105229416543,0.06232166916961131,9,30
HUBS,12.284610368225183,3.3651031095996826,36.666666666666664,16.46640117658917,0.007827001327433627,9,30
INTC,12.195724931841657,4.481565341708527,46.666666666666664,32.52339703120019,0.6667366034406705,9,30
NVDA,12.059068119978438,2.48134363270545,50.0,29.892853239097906,1.586071311120918,9,30
NOW,11.996887532663619,2.4715086631153134,43.333333333333336,25.40793957303789,0.05118901281484755,9,30
ILMN,11.15715932883346,2.751249873563012,46.666666666666664,19.226542325890183,0.011264894969108562,9,30
NTLA,10.472357399580144,5.448898758188956,36.666666666666664,22.912492635388272,0.03487943165784833,9,30
AMZN,10.136034502907126,1.853284775781455,40.0,31.23313912172297,0.2784354064430715,9,30
RUN,10.122441712056983,5.726347992278515,53.333333333333336,21.184310389417355,0.052037697705207414,9,30
CRSP,10.062826568033225,4.7709487314242205,40.0,24.706764368423123,0.01504256172839506,9,30
ZS,9.723716078294423,2.6337063039871618,43.333333333333336,22.336087024910753,0.01788765652557319,9,30
UPST,9.403497248456071,5.138577103492391,40.0,24.5702496224273,0.041340416151809355,9,30
KLAC,8.882114783989001,2.633275522175336,50.0,22.594875185641847,0.005282506625441696,9,30
FTNT,8.878462616253845,2.196493279307731,36.666666666666664,21.042362168255742,0.03708076003528893,9,30
SEDG,8.787095825992605,6.041883525573274,50.0,21.579085515776704,0.03112628155339806,9,30
AAPL,8.521853304789252,1.5173746371638004,60.0,29.46095579421949,0.28464655599647265,9,30
VRTX,8.116378853173224,2.153248348651343,56.666666666666664,18.80908106214646,0.00907317159241288,9,30
ASML,7.954920379091566,2.2106522168522584,33.33333333333333,29.096101842892452,0.011435868165784832,9,30
QCOM,7.584291950738683,2.157712667679556,43.333333333333336,25.128614446464073,0.04970937566137566,9,30
ENPH,6.718134409012874,4.209416779971996,30.0,20.620986856521245,0.050167764109347444,9,30
GILD,6.2517014427962705,2.1335452482413473,60.0,22.775051688191297,0.04103904146449052,9,30
DDOG,6.237368625356212,2.756015258114673,63.33333333333333,20.117403968229635,0.030233518518518517,9,30
MDB,6.024696049520897,3.239853961979255,46.666666666666664,22.127820311940035,0.015650999117387467,9,30
EDIT,4.99404253399518,6.307869952316894,53.333333333333336,20.056872762047472,0.018690492477876106,9,30
WDAY,4.692591005164773,2.2446929521706442,43.333333333333336,21.94272785965221,0.02286170406360424,9,30
RIVN,2.0175740978331715,6.197050049758294,36.666666666666664,22.623837981388313,0.4800394832451499,9,30
LUNR,1.7955311203810607,8.881106269484825,40.0,28.622508616114263,0.10550357275132274,9,30
LRCX,1.7935851538239285,3.318825374813751,33.33333333333333,25.566900636923013,0.0710211755624173,9,30
CRWD,1.650575552747219,2.972288994868531,43.333333333333336,27.760808437438012,0.020136823192239858,9,30
OKTA,1.2960417352568405,3.1282709825093535,30.0,19.367358925975978,0.023432746913580247,9,30
MSFT,0.8008680503914498,1.4417567132211182,40.0,29.90807969675391,0.1530985377150419,9,30
BIIB,-1.048044443532166,2.5755708869793925,30.0,20.589485208942516,0.014285791427308884,15,30
MRNA,-1.505426491483727,5.060500128522898,33.33333333333333,22.506202527081264,0.09405108910454345,15,30
META,-3.367794512506688,1.881600471471951,40.0,30.916331764057425,0.1071367385361552,9,30
BNTX,-4.6841702937191245,2.2549206598561145,53.333333333333336,18.24654211162802,0.013208340416113323,9,30
CYBR,-8.489648649519301,2.062490297755399,43.333333333333336,16.729370140315037,0.004354992892047979,9,30
AVGO,-9.811870416799419,3.266498873045664,43.333333333333336,28.960908549382754,0.29415492857142855,9,30
NFLX,-11.589644999509911,2.414330122546288,40.0,24.248088762311948,0.4774293046737213,9,30
LI,-12.691629885434814,2.489747119894744,53.333333333333336,22.497642060048836,0.05744206840247131,9,30
QQQ,-17.33217119718872,1.031874057210161,36.666666666666664,22.499973759333734,0.5566299810322011,9,30
NVVE,-26.121682381776495,17.78247297491378,56.666666666666664,33.21638302612067,0.12805298186397984,9,30
