ticker,price,position,atr_pct,avg_range,bounce_rate,avg_bounce,bounce_signals,week_change,dist_from_low,low_20,high_20,opportunity_score
SRNE,0.00279999990016222,25.7731953318871,99.3622492995955,154.66057900812544,100.0,98.67262179542806,17,11.999998509883847,833.3332557231225,0.0003000000142492354,0.009999999776482582,432.33649544933405
NVVE,4.710000038146973,48.924732193550085,13.970276456500317,16.944604458913872,75.75757575757575,38.47719312951545,33,104.78261459977969,137.87878751389871,1.9800000190734863,7.559999942779541,21.7851165069671
FCEL,7.800000190734863,17.5532012705682,11.410253982852133,9.247442521014486,64.28571428571429,9.259983356652755,14,4.278077150339552,9.24370219315044,7.139999866485596,10.899999618530273,21.575658013085878
SPCE,3.1500000953674316,20.535718087031306,7.512470264446527,7.545334040184027,86.66666666666667,14.841107818901227,15,-3.6697212923249483,7.876712776165458,2.9200000762939453,4.039999961853027,21.415214414984064
INO,1.6100000143051147,9.756097797361269,11.047026393052825,6.781890486648701,57.89473684210527,8.950434989709725,19,-7.999999182564872,8.05369154364508,1.4900000095367432,2.7200000286102295,19.874155769209963
HOOD,115.38999938964844,18.41033332976073,4.126749375413157,5.164986357452697,76.92307692307693,8.891234951743957,13,-0.07620277363825366,4.510456989730273,110.41000366210938,137.4600067138672,13.984582238772445
OPEN,6.429999828338623,37.08919809426332,6.076428449120526,8.747538085453861,75.0,8.587130949265108,12,8.614860565406431,14.007091853803413,5.639999866485596,7.769999980926514,13.932396026276042
MRVL,83.44999694824219,17.434694534082364,4.051185788060257,4.510997272055798,83.33333333333334,12.934687437454787,6,-3.792945580531938,2.7962510895946355,81.18000030517578,94.19999694824219,13.702227989853464
BBAI,6.170000076293945,51.17646959826184,6.2062971960032325,8.333860252097226,100.0,16.358201120402857,9,10.178574667293255,16.415091589618484,5.300000190734863,7.0,13.622656401758121
FNGU,24.649999618530273,14.772725161582779,3.837148879965182,4.600112191125877,71.42857142857143,8.628381752099482,14,-4.8262548973386155,3.833192317546716,23.739999771118164,29.899999618530273,13.263758431100415
NIO,4.730000019073486,5.357138295562434,4.84747886143154,4.158427044289471,48.38709677419355,3.97013971865221,31,-11.090228074252865,1.2847953276085646,4.670000076293945,5.789999961853027,13.102324661528947
CLSK,11.989999771118164,36.512264979052944,6.933756119486066,8.923579804588103,64.28571428571429,18.014859383501197,14,15.343908062680667,20.140283778324033,9.979999542236328,15.484999656677246,12.333493154587748
QUBT,11.9399995803833,62.413782897657576,6.862886742590388,8.909970206648685,100.0,19.728032598645395,12,13.175349426715192,17.867714170724646,10.130000114440918,13.029999732971191,12.30424630521119
ARQQ,27.280000686645508,64.84540179467938,7.3881960472677655,9.757444141180894,94.11764705882352,17.426081864618688,17,19.754169729406854,27.30411871222063,21.429000854492188,30.45199966430664,12.269927902787108
RGTI,25.25,59.80706951795898,7.075529085021713,9.234982557834137,89.47368421052632,14.180896467404375,19,11.923761514793323,17.278212701878406,21.530000686645508,27.75,11.836736863116627
