ticker,days,win_rate,avg_edge,avg_dip,peak_time
IONQ,30,100.0,3.9125742964979207,-3.820537541988705,09:30
RGTI,30,100.0,4.139396549050611,-4.043591039790456,09:30
QBTS,30,100.0,4.910156617663497,-4.768767544635865,09:30
RKLB,30,100.0,4.565430852869961,-4.4087202159191365,09:30
ASTS,30,100.0,4.590428114761326,-4.475671595857572,09:30
LUNR,30,100.0,4.469507286789775,-4.327028950164377,09:30
CCJ,30,86.66666666666667,2.345421634885317,-2.2983526144875177,09:30
UEC,30,100.0,3.7989817564929997,-3.7077172944034467,09:30
UUUU,30,100.0,3.9324529468218543,-3.8324301635517335,09:30
MRNA,30,86.66666666666667,2.072800288775284,-2.044071367412262,09:30
BNTX,30,53.333333333333336,1.2765343222780183,-1.2653435439971354,09:30
CRWD,30,70.0,1.8210920768608077,-1.800216489818749,09:30
S,30,66.66666666666666,1.4459762199922042,-1.4301928471294436,09:30
ZS,30,73.33333333333333,1.742053385042581,-1.7293312052656375,09:30
NVDA,30,80.0,1.6535637928732512,-1.6347496854378507,09:30
AMD,30,96.66666666666667,2.440016609243088,-2.4019534128112623,09:30
AI,30,83.33333333333334,2.3154789130740516,-2.2735189548688433,09:30
NVVE,30,100.0,11.12949771408477,-10.037765182099072,09:30
APLD,30,100.0,4.815070714602988,-4.672694838377188,09:30
